|  RAM[13]   |  RAM[14]   |  RAM[15]   |
|         4  |         2  |         2  |
|         5  |         2  |         2  |
|         5  |         3  |         1  |
|         9  |         3  |         3  |
|         4  |         3  |         1  |
|         1  |         1  |         1  |
|         7  |         1  |         7  |
|         3  |         5  |         0  |
|     16383  |        85  |       192  |
|     32767  |        11  |      2978  |
|     32767  |     32000  |         1  |
|     32000  |     32767  |         0  |
|     32767  |         1  |     32767  |
|     32767  |     32767  |         1  |
|         1  |     32767  |         0  |
